rater,edu_group,pc1_var_explained,effective_dependence,n_bootstraps,n_vars
Dom Nemo v2,overall,0.30516129312333,0.925519204608146,50,60
Dom Nemo v2,loedu,0.271260081691928,0.965381984169532,50,59
Dom Nemo v2,hiedu,0.302582685508769,0.949303974724057,50,59
gss,overall,0.169975673584619,0.325770915284272,50,55
gss,loedu,0.126581320023584,0.335504426869581,50,54
gss,hiedu,0.197880361529799,0.378885902124836,50,54
mistralai_mistral-nemo_OLD,overall,0.299019451623167,0.731055467047655,50,61
mistralai_mistral-nemo_OLD,loedu,0.278054843289095,0.851933919818766,50,60
mistralai_mistral-nemo_OLD,hiedu,0.305329179900697,0.804038536778907,50,60
Nemo_2,overall,0.274654047403288,0.869395002741812,50,61
Nemo_2,loedu,0.246059140391199,0.950348587810339,50,59
Nemo_2,hiedu,0.286913202663977,0.907144171847641,50,60
nemo_4,overall,0.354597824309805,0.867550117479476,50,60
nemo_4,loedu,0.305416580880046,0.911662514937092,50,59
nemo_4,hiedu,0.381146887499005,0.895980795272499,50,59
nemo_5,overall,0.234229034347217,0.568283640229152,50,61
nemo_5,loedu,0.220965448785092,0.775140734818694,50,60
nemo_5,hiedu,0.243638379167872,0.713035166017359,50,60
nemo_temp_0.5,overall,0.357075098636178,0.916194558782535,50,60
nemo_temp_0.5,loedu,0.307278179159567,0.962350473841044,50,58
nemo_temp_0.5,hiedu,0.383092816370365,0.936890845562691,50,59
nemo_temp_0.9,overall,0.311502791436935,0.877714927044367,50,61
nemo_temp_0.9,loedu,0.269300129614255,0.951499337462213,50,59
nemo_temp_0.9,hiedu,0.329149343002428,0.91591791941535,50,60
nemo_temp_1.3,overall,0.25513758530497,0.845632482362124,50,61
nemo_temp_1.3,loedu,0.22882031482651,0.949943621048473,50,60
nemo_temp_1.3,hiedu,0.270145296375676,0.893859103161275,50,60
nemo_temp_1.7,overall,0.195227660816826,0.745703112078543,50,61
nemo_temp_1.7,loedu,0.180235208384172,0.924741272752754,50,60
nemo_temp_1.7,hiedu,0.211260255428549,0.838497769245201,50,60
Nemo_v3,overall,0.227979876678402,0.867093265492653,50,61
Nemo_v3,loedu,0.213370975538009,0.953478347873145,50,60
Nemo_v3,hiedu,0.234410635090746,0.912008275414297,50,60
